COUNTRY_ANAME,ISO3,COUNTRY_ENAME,Region
إيطاليا,ITA,Italy,WE/EU
تايوان,TWN,Taiwan,AP
بولندا,POL,Poland,WE/EU
هنجاريا,HUN,Hungary,WE/EU
الإتحاد الأوربي,EU,European Union,EU
إيرلندا,IRL,Ireland,WE/EU
بنغلادش,BGD,Bangladesh,AP
الأردن,JOR,Jordan,MENA
هونج كونج,HKG,Hong Kong,AP
نيوزيلاندا,NZL,New Zealand,AP
سلوفانيا,SVN,Slovenia,WE/EU
روسيا,RUS,Russia,ECA
تونس,TUN,Tunisia,MENA
الأرجنتين,ARG,Argentina,AME
ماينامار,MMR,Myanmar,AP
تشيلي,CHL,Chile,AME
كامبوديا,KHM,Cambodia,AP
لتوانيا,LTU,Lithuania,WE/EU
أكوادور,ECU,Ecuador,AME
جيبوتي,DJI,Djibouti,SSA
كولومبيا,COL,Colombia,AME
مالطة,MLT,Malta,WE/EU
هوندوراس,HND,Honduras,AME
دومينكا,DMA,Dominica,AME
بيلاروس,BLR,Belarus,ECA
جمهورية الدومينيكان,DOM,Dominican Republic,AME
مولدافيا,MDA,Moldova,ECA
أوزباكستان,UZB,Uzbekistan,ECA
ألبانيا,ALB,Albania,ECA
زيمبابوي,ZWE,Zimbabwe,SSA
كونغو,COG,Congo,SSA
قيرقيزيستان,KGZ,Kyrgyzstan,ECA
براجواي,PRY,Paraguay,AME
السنيغال,SEN,Senegal,SSA
أفغانستان,AFG,Afghanistan,AP
ساحل العاج(كوتديفوار,CIV,Cote d'Ivoire,SSA
سلفادور,SLV,El Salvador,AME
بهاما,BHS,Bahamas,AME
أيسلندا,ISL,Iceland,WE/EU
سوازي لاند,SWZ,Eswatini,SSA
ليبريا,LBR,Liberia,SSA
جابون,GAB,Gabon,SSA
ترينيداد و توباكو,TTO,Trinidad and Tobago,AME
جامايكا,JAM,Jamaica,AME
أرمينيا,ARM,Armenia,ECA
أذربيجان,AZE,Azerbaijan,ECA
سانت فينسنت,VCT,Saint Vincent and the Grenadines,AME
مالديف,MDV,Maldives,AP
بربدوس,BRB,Barbados,AME
جزر القمر,COM,Comoros,SSA
إيران,IRN,Iran,MENA
بروناي دار السلام,BRN,Brunei Darussalam,AP
جنوب السودان,SSD,South Sudan,SSA
ملاوي,MWI,Malawi,SSA
